groundTruth,predicted
"
07/01/2014, 2013-2014, Corrections and Rehabilitation, Department of, 53103001, ","
04/08/2014, 2013-2014, Water Resources, Department of, 53103001,  

### Response"
"
2012-2013, nan, $22414.98, 81110000.0, ","
2012-2013, nan, $22414.98, 81110000.0, "
"
12/03/2013, nan, 95403, NO, 86101803, ","
03/26/2014, nan, 95403, NO, 86101803, "
"
2013-2014, Valerie Centeno, ","
2013-2014, Elizabeth M. Marc"
"
32300001, Bookcase, w/half doors, Cherry, ","
50-62-5535, Bookcase, w/half doors, Cherry"
"
04/10/2015, R0000463, NON-IT Goods, Informal Competitive, CA-MB CA-SB, $1574.00, ","
04/09/2015, 4500221628, NON-IT Goods, Informal Competitive, CA-MB CA-SB, $1487.00"
"
nan, Correctional Health Care Services, CA-DVBE CA-SB CA-SBE CDVBE, $4794.92, 39121436.0, ","
nan, Correctional Health Care Services, CA-DVBE CA-SB CA-SBE CDVBE, $4794.92, 39121436.0, "
"
03/10/2014, 1-14-23-23 A - G, nan, NO, Dodge, Caravan Minivan, 25101505.0, 25000000.0, Commercial and Military and Private Vehicles and their Accessories and Components, ","
03/10/2014, 1-14-23-23 A - G, nan, NO, Automible, 25101505.0, 25000000.0, Commercial and Military and"
"
$50000.00, ","
$50000.00, "
"
11/05/2013, C11E0030, nan, 72141210.0, ","
04/11/2014, S231140015-1, nan, 72141210"
"
Fuel for fire equipment, ","
diesel,    15% diesel,   "
"
Printer Imaging Unit, Printer or facsimile or photocopier drums, 44103100.0, Office machines and their supplies and accessories, 95827
(38.563097, -121.328511), ","
Samsung Imaging Drum, Printer or facsimile or photocopier drums, 44103100.0, Office machines and their supplies and accessories, 95827
(38.5630"
"
nan, ","
nan, "
"
NO, 81112306.0, 81112300.0, Engineering and Research and Technology Based Services, ","
NO, 81112306.0, 81112300.0, Engineering and Research and Technology Based Services, "
"
nan, 15.0, ","
nan, 5.0,  "
"
nan, ","
nan, "
"
78181701.0, ","
78181701.0, "
"
FY 2019-2020 High Volume Maintenance, 81000000.0, Engineering and Research and Technology Based Services, ","
FY 2019-2020 High Volume Maintenance, 81000000.0, Engineering and Research and Technology Based Services, "
"
2014-2015, nan, Correctional Health Care Services, 41112215
42294214, ","
2014-2015, nan, Correctional Health Care Services, 41112215
42141503
4"
"
nan, Home Electronics Lab, Camera kits, 45121500.0, ","
nan, Signs Now, Still cameras, 45121500.0,   

### R"
"
73100000.0, ","
73100000.0, "
"
95482
(39.150868, -123.215335), ","
95482
(39.150868, -123.215335), "
"
IT Services, Child Support Services, Department of, Enterprise Networking Solutions, Inc, CA-SB, Development environment software, Development software, 43230000.0, ","
IT Goods, Child Support Services, Department of, Enterprise Networking Solutions, Inc, CA-SB, Configuration management software, Development software, 43230000.0, 

"
"
97501, 46191600.0, ","
95604, 46191600.0, "
"
$4400.00, 93150000.0, Public administration and finance services, ","
$4400.00, 93150000.0, Public administration and finance services, "
"
nan, NON-IT Goods, nan, 26111804
46181604
53102501
53102705
53112002
53141504, ","
nan, NON-IT Goods, nan, 26111804, 

### Response:
nan, NON-IT Goods, nan, 26111"
"
NON-IT Goods, 18030.0, CA-MB CA-SB MBE, ","
NON-IT Goods, 18030.0, CA-MB CA-SB MBE, "
"
02/27/2015, nan, Amerisource Bergen Drug Corporation, $7593.69, ","
03/20/2015, nan, Amerisource Bergen Drug Corporation, $7593.69, "
"
91402, ","
91402, "
"
10/17/2014, Printing and writing paper, ","
09/01/2014, Printing and writing paper, "
"
2014-2015, State Programs, 15100000.0, ","
2014-2015, State Programs, 15100000.0, "
"
42211907, ","
42211907, "
"
2012-2013, 4500148976, $28872.55, 50000000.0, ","
2012-2013, 4500147767, $28872.55, 50000000.0, "
"
12482133, NON-IT Goods, nan, ","
12518106, NON-IT Goods, nan, "
"
08/31/2012, AC Power Cord for Catalyst 3K-X (North America), ","
09/04/2012, AC Power Cord for Catalyst 3K-X (North America), "
"
Torque Wrench, Torque wrenches, ","
TORque Wrench, Socket sets, renc"
"
nan, Public Works, 81141501.0, 81000000.0, ","
nan, Public Works, 81141501.0, 81000000.0, "
"
NON-IT Services, Services are specifically exempt by statute, nan, ","
NON-IT Services, Personal Services, nan,  

### Response:
NON-IT Se"
"
02/06/2013, 42568.0, $218.72, ","
02/05/2013, 25616.0, $218.72, "
"
PD141252-291, Statestore, Inc, ","
C599097, Statestore, Inc,     
"
"
Universal motor, ","
Motor drive or mu"
"
","
"
"
nan, nan, Office Equipment and Accessories and Supplies, ","
nan, nan, Office Equipment and Accessories and Supplies, "
"
1133, 30000.0, $0.63, Fish food, ","
PO14K059, 6.0, $3640.00, Fish foo"
"
95814, $142.53, nan, ","
95814, $142.53, nan, "
"
nan, C1400109, nan, nan, Franchise Tax Board, $6650.00, ","
nan, 14-C0076, nan, nan, Secretary of State, $6650.00, 
"
"
nan, NON-IT Goods, Fair and Reasonable, Independent living aids for the physically challenged, 95037
(37.138729, -121.652852), ","
1-13-89-134, NON-IT Goods, Statewide Contract, Independent living aids for the physically challenged, 95037
(37.138729, -121.65"
"
06/10/2015, 4500286274, 1755845.0, 40000000.0, ","
06/10/2015, 4500287298, 1757013.0, 40000000.0, "
"
44100000.0, ","
44100000.0, "
"
3170866, 91789, Shrink Dampening Cover, 45101507.0, ","
3170164, 91789, Shrink Dampening Cover, 45101507.0, "
"
4500215673, $330.44, ","
4500215673, $330.44, "
"
","
"
"
nan, ","
nan, "
"
SN250187, nan, ","
HD250143, nan, "
"
IT Goods, ","
IT Goods, "
"
03/26/2014, Fish and Wildlife, Department of, 13101723.0, 13100000.0, ","
03/26/2014, Fish and Wildlife, Department of, 13101723.0, 13100000.0, "
"
nan, 78101804.0, 94587
(37.591945, -122.048438), ","
nan, 78101804.0, 94587
(37.591945, -122.048438), "
"
11/15/2012, 95691, Oil Change, Windshield Wipers, ","
11/16/2012, 95691, Oil Change,     Oil Change,    "
"
P1200886, 44122000.0, ","
P1200856, 44122000.0, "
"
Emergency Purchase, nan, ","
Emergency Purchase, nan, "
"
Correctional Health Care Services, nan, Packaging materials, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
Corrections and Rehabilitation, Department of, nan, Packaging materials, Material Handling and Conditioning and Storage Machinery and their Accessories an"
"
nan, nan, 44102100.0, ","
nan, nan, 44102100.0, "
"
Canon DR-M140 Scanner       582B002, 43211711, ","
Canon DR-M140 Scanner       582B002, 43211711, "
"
nan, C3714AAI, EEL RIVER WATERSHED IMPROVEMENT GROUP, nan, 70131706.0, ","
nan, S4940015, Estrada Resource Conservation District, nan, 70131706.0,"
"
nan, nan, Petroleum and distillates, Fuels, ","
nan, nan, Petroleum and distillates, Fuels, "
"
02/19/2013, nan, 54780.0, BRINE MACHINE, $76383.00, ","
02/20/2013, nan, 54725.0, BRINE MACHINE, $76383.00, "
"
X0529, nan, Technology Integration Group, NO, $145.67, ","
X0873, nan, Technology Integration Group, NO, $233.76, "
"
2PA3W042, Fuels, ","
3PA3C062, Fuels, "
"
ABC Ventures LLC, Frozen Dietary Meals, 50000000.0, ","
ABC Ventures LLC, Frozen Dietary Meals, 50000000.0, "
"
Arrowhead Mechanical, Inc., ","
ADVANCED INSTITUTE INC,  A&E"
"
Special Category Request (SCR), Medical practice, ","
Formal Competitive, Medical practice,  

### Respo"
"
05/08/2014, Water Resources, Department of, $85.53, 44103103, 44103103.0, ","
05/07/2014, Water Resources, Department of, $245.53, 44103103, 44103103.0,"
"
JoeD, Inc, eye wash station refill, germincidal wipes, grey trash can with eight
slits, mop, dust mop, broom, gloves,, Medical apparel and textiles, ","
VISTA PAINT CENTER, warehouse supplies, Medical apparel and textiles, 
     
        
      "
"
4500197248, nan, nan, 78180301.0, ","
4500197248, nan, nan, 78180301.0, "
"
","
"
"
NO, $63.00, ","
NO, $63.00, "
"
71151000.0, Oilfield information management and communications services, ","
71151000.0, Oilfield information management and communications services, "
"
KITIRI9575TG Iridium 9575 To Go KIt Includes: Iridium 9575
    Phone, AC Charger w/International Plug, Adapters, DC Charger, 2 each
    Li-Ion Battery, Patch Antenna, Antenna Adapter, Ear Bud & Mic,
    Leather Holster, User Manual, Pelican 1200 case, $8000.00, 43191500.0, ","
SATELLITE PHONE & ACTIVATION, $8000.00, 43191500.0,  

### Response:
SATELLITE PHONE & ACTIV"
"
NO, medical vocational training services, 86100000.0, ","
NO, medical vocational training services, 86100000.0, "
"
10/21/2013, nan, SB/DVBE Option, Corrections and Rehabilitation, Department of, CLARK EQUIPMENT SUPPLIES, 92627, 31000000.0, ","
10/18/2013, nan, Informal Competitive, Corrections and Rehabilitation, Department of, CLARK EQUIPMENT SUPPLIES, 92627, 310000"
"
NR140737, nan, IT Goods, Notebook computers, ","
CF140741, nan, IT Goods, Notebook computers, "
"
60120000.0, ","
60120000.0, "
"
nan, 1.0, 27110000.0, ","
nan, 1.0, 27110000.0, "
"
BD120207, nan, CMAS, MX-M350N Annual Maintenance Agreement, Taxable, $46.20, ","
CF120374, nan, CMAS, copier maintenance, $58.40,                     "
"
nan, IT Goods, nan, 43211708.0, ","
nan, IT Goods, nan, 43211708.0, "
"
32101500.0, Circuit assemblies and radio frequency RF components, ","
32101500.0, Circuit assemblies and radio frequency RF components, "
"
nan, nan, nan, Non scientific vocational training services, ","
nan, nan, nan, Non scientific vocational training services, "
"
Sacramento Bee, nan, 3 Seperate accounts with 5 users per account., 3.0, 55111507, Electronic reference material, ","
California Association of State Auditors, nan, Sacramento Bee Digital Subscription, 6.0, 55111507, Electronic refe"
"
13-20126, nan, Healthcare Services, 93702-4596
(36.726749, -119.745325), ","
13-5128, nan, Healthcare Services, 93702-4596
(36.726749, -119.745325), 
"
"
15101500.0, ","
15101500.0, "
"
05/21/2015, 05/19/2015, nan, 44000000.0, Office Equipment and Accessories and Supplies, 95811
(38.581053, -121.488564), ","
06/30/2015, 05/15/2015, nan, 44000000.0, Office Equipment and Accessories and Supplies, 95811
(38.581053, -"
"
02/01/2013, PentelÂ® R.S.V.P.Â® Ballpoint Pens, 1.0 mm, Medium Point, Clear Barrel, Green Ink,, Writing instruments, 44120000.0, Office supplies, ","
02/01/2013, PentelÂ® R.S.V.P.Â® Ballpoint Pens, 1.0 mm, Medium Point, Clear Barrel, Red Ink, Pack"
"
nan, nan, SYRINGE SAFETY 1CC W/ 29G X 1/2 INSUL, Medical syringes with needles, Syringes and accessories, ","
nan, nan, SYRINGE SAFETY 1CC W/ 29G X 1/2 INSUL, Medical syringes with needles, Syringes and accessories, "
"
NON-IT Goods, nan, Chairs, 56101500.0, Accommodation furniture, 95696
(38.43, -122.02), ","
NON-IT Goods, nan, Chairs, 56101500.0, Accommodation furniture, 95696
(38.43, -122.02), "
"
POK32105, NON-IT Goods, WSCA/Coop, Fish and Wildlife, Department of, INNOCULATING LOOPS, Tissue culture and high throughput screening supplies, Laboratory supplies and fixtures, ","
13-G0242, NON-IT Goods, WSCA/Coop, Pesticide Regulation, Department of, Tissue, Microorganism propagation and transformation media, Laboratory and"
"
05/12/2014, 2013-2014, nan, NO, Electrical wire and cable and harness, ","
05/12/2014, 2013-2014, nan, NO, Electrical wire and cable and harness, "
"
CAMWEAR FOOD PANS 1/6, 1.1 QT. 2 1/2 H-PAN, 48101800.0, Institutional food services equipment, ","
CHAIRS - FRESH PRODUCE - FRESH PRODUCE - FRESH PRODUCE - FRESH PRODUCE - FRESH PRODUCE -"
"
nan, $315.00, ","
nan, $44.00,  "
"
Correctional Health Care Services, NO, ","
Correctional Health Care Services, NO, "
"
NON-IT Goods, NO, ","
NON-IT Goods, NO, "
"
nan, 41916.0, 3-9000 9 x 12 Window Envelope, ","
nan, 47508.0, 3-9000 9 x 12 Window Envelope, "
"
8712.0, 31000000.0, ","
1016560.0, 31000000."
"
Paper clips, Office supplies, ","
Folders, Office supplies, 
 
#"
"
11/03/2014, 1743406.0, 15101500.0, Fuels, ","
11/03/2014, 1743406.0, 15101500.0, Fuels, "
"
NON-IT Goods, 19482, $17534.88, 60122900.0, ","
NON-IT Goods, 19482, $17534.88, 60122900.0, "
"
CA-MB CA-SB, NO, WHITE MMA EPOXY PAINT, $56340.00, ","
CA-MB CA-SB, NO, WHITE MMA EPOXY PAINT, $6200.00,  "
"
2014-2015, nan, 0.0, nan, $300.00, ","
2014-2015, nan, 0.0, nan, $300.00, "
"
Statewide Contract, TRAFFIC SIGNS, ","
Statewide Contract, TRAFFIC SIGNS, "
"
NON-IT Goods, nan, Formal Competitive, $81.52, $163.04, 26111707.0, Batteries and generators and kinetic power transmission, ","
NON-IT Goods, nan, Informal Competitive, $19.99, $39.98, 26111707.0, Batteries and generators and kinetic power transmission,"
"
shelving, $12236.00, 24102004, ","
 shelving, $12236.00, 24102004,"
"
nan, 91801, NO, Passenger motor vehicles, ","
nan, 91801, NO, Passenger motor vehicles, "
"
","
"
"
10/02/2012, California Technology Agency, 90606, Brackets and braces, ","
11/07/2012, California Technology Agency, 90606, Brackets and braces, "
"
11/15/2012, 50401801
50471844, 50401801.0, 50400000.0, ","
11/12/2012, 50401824, 50401824.0, 50400000.0, 

### Res"
"
C1367017, 90036, 1.0, 49101601, 49101601.0, 49100000.0, Collectibles and awards, ","
C3874U, 90036, 1.0, 49101604
49101707, 49101604.0, 49100000.0, Collectibles and a"
"
2013-2014, 96088, ","
2013-2014, 96088, "
"
Gasoline or Petrol, ","
Gasoline or Petrol, "
"
3B INDUSTRIES INC, NO, $917.50, Printing and writing paper, 14110000.0, ","
3B INDUSTRIES INC, NO, $917.50, Printing and writing paper, 14110000.0, "
"
13-03-1581, IT Goods, 95827, 44100000.0, ","
13-PO-01114, IT Goods, 95827, 44100000.0,"
"
nan, Business use papers, ","
nan, Business use papers, "
"
nan, A+ Movers, ","
nan, The CSU,Chi"
"
nan, State Programs, Fuel for Equip. 14R259, Gasoline or Petrol, ","
nan, State Programs, Fuel for Equip. 14R259, Gasoline or Petrol, "
"
ABC Ventures LLC, 50192703, 50000000.0, 94583
(37.755754, -121.963415), ","
ABC Ventures LLC, 50192703, 50000000.0, 94583
(37.755754, -121.963415), "
"
NON-IT Goods, Medical gloves and accessories, ","
NON-IT Goods, Medical gloves and accessories, "
"
95742, 52101512, ","
95742, 52101512, "
"
2014-2015, Community Services and Development, Department of, 94546
(37.718472, -122.084844), ","
2014-2015, Community Services and Development, Department of, 94546
(37.718472, -122.084844), "
"
ASA 5500 ANYCONNECT CLIENT + CISCO SECURITY DESKTOP, Information Technology Broadcasting and Telecommunications, ","
ASA 5500 ANYCONNECT CLIENT + CISCO SECURITY DESKTOP, Information Technology Broadcasting and Telecommunications, "
"
Consumer Affairs, Department of, nan, ","
Consumer Affairs, Department of, nan, "
"
nan, 43210000.0, ","
nan, 43210000.0, "
"
86101605, nan, ","
86101605, nan, "
"
nan, NO, 50221101.0, Cereal and pulse products, 95366
(37.756787, -121.128369), ","
nan, NO, 50221101.0, Cereal and pulse products, 95366
(37.756787, -121.128369), "
"
$8561.80, Circuit assemblies and radio frequency RF components, 32100000.0, ","
$8561.80, Circuit assemblies and radio frequency RF components, 32100000.0, "
"
02/14/2015, Water Resources, Department of, 27111505, 27000000.0, ","
02/13/2015, Corrections and Rehabilitation, Department of, 2711150"
"
11/13/2013, ","
11/14/2013, "
"
11/13/2012, 11/13/2012, Transportation, Department of, glass beads, Glass beads, ","
03/26/2013, 03/25/2013, Transportation, Department of, glass beads, beads, nan, n"
"
1-09-70-03A, nan, WBE, Mining and Well Drilling Machinery and Accessories, ","
1-11-70-04Q, nan, nan, Mining and Well Drilling Machinery and Accessories, "
"
07/31/2013, 07/25/2013, 42934.0, 43220000.0, ","
06/24/2014, 06/24/2014, 42934.0, 43220000.0, "
"
2012-2013, 4500173942, 50170000.0, 50000000.0, ","
2012-2013, 4500175020, 50170000.0, 50000000.0, "
"
Poly light emitting diode LED display, ","
Liquid crystal display LCD panels or mo"
"
WT-13-17, 60100000.0, ","
13-3011, 60100000.0, 
"
"
REQ0013632, CA-MB CA-SB, 30.0, $24.50, Folders, ","
REQ0013632, CA-MB CA-SB, 2.0, $13.50, Folders,  "
"
41110000.0, ","
41110000.0, "
"
1.0, $5536.16, 93131608.0, 93000000.0, ","
1.0, $5536.16, 93131608.0, 93000000.0, "
"
nan, Power supply units, Power conditioning equipment, Electrical Systems and Lighting and Components and Accessories and Supplies, ","
nan, Power supply units, Power conditioning equipment, Electrical Systems and Lighting and Components and Accessories and Supplies, "
"
Personal Hygiene Items, 53131600.0, ","
Personal Hygiene Items, 53131600.0, "
"
nan, nan, 1010439.0, Amerisource Bergen Drug Corporation, ","
nan, nan, 1010439.0, Amerisource Bergen Drug Corporation, "
"
10/02/2014, 2014-2015, NON-IT Goods, nan, 56101500.0, ","
10/13/2014, 2014-2015, NON-IT Goods, nan, 56101500.0, "
"
","
"
"
3B INDUSTRIES INC, 44122003.0, Folders and binders and indexes, ","
3B INDUSTRIES INC, 44122003.0, Folders and binders and indexes, "
"
","
"
"
10/28/2013, nan, 1758289.0, ","
10/28/2013, nan, 1758289.0, "
"
WSCA/Coop, Grainger Industrial Supply, 95691, ","
WSCA/Coop, Grainger Industrial Supply, 95691, "
"
09/05/2012, CA-MB CA-SB CA-SBE, ","
09/05/2012, CA-MB CA-SB CA-SBE, "
"
nan, LC Action Police Supply, Safety Boot order for OSPR Enforcement, ","
nan, LC Action Police Supply, safety boots,   
      
        
       "
